Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,Signal,Position
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,,,
Date,,,,,,,,,
2020-01-02,5.971078395843506,5.971078395843506,5.891683450284185,5.942207549705271,237536000,,,0.0,0.0
2020-01-03,5.875504970550537,5.919309450404571,5.8264738602636355,5.851362780060624,205384000,,,0.0,0.0
2020-01-06,5.900144100189209,5.905370730122537,5.756038175046519,5.78217132471316,262636000,,,0.0,0.0
2020-01-07,5.971576690673828,6.017372139379928,5.88347021409633,5.928518933378317,314856000,,,0.0,0.0
2020-01-08,5.982776641845703,6.024092188442411,5.927274660437708,5.967345499763796,277108000,,,0.0,0.0
2020-01-09,6.048482418060303,6.120908991813925,5.9947226534222215,6.069140188913055,255112000,,,0.0,0.0
2020-01-10,6.080838203430176,6.186118028449944,6.066651769083089,6.155753723131289,316296000,,,0.0,0.0
2020-01-13,6.271486759185791,6.296624433254378,6.1413180125117846,6.16396722157428,319840000,,,0.0,0.0
2020-01-14,6.154508113861084,6.254063307729737,6.141316688702072,6.228676412859519,359088000,,,0.0,0.0
2020-01-15,6.111948013305664,6.1896012087473915,6.086063614825088,6.167201230265484,263104000,,,0.0,0.0
2020-01-16,6.19557523727417,6.2015485971623985,6.142064224533097,6.165459686296713,284192000,,,0.0,0.0
2020-01-17,6.204286098480225,6.2222061775969015,6.156748447081117,6.2147393592857885,253792000,,,0.0,0.0
2020-01-21,6.170934200286865,6.204534164327883,6.1368362585649106,6.167698532152198,217916000,,,0.0,0.0
2020-01-22,6.224944114685059,6.31155712176519,6.197317502973292,6.216233063669337,239240000,,,0.0,0.0
2020-01-23,6.293388843536377,6.301851143757321,6.176162771828785,6.265015974715253,244516000,,,0.0,0.0
2020-01-24,6.234151840209961,6.458649107377965,6.179894109000155,6.408871276508742,373512000,,,0.0,0.0
2020-01-27,5.978296279907227,6.0293183555907035,5.779932111084049,5.929513917591707,470536000,,,0.0,0.0
2020-01-28,6.171680450439453,6.204035705125183,5.990987197918828,6.04424944339955,310976000,,,0.0,0.0
2020-01-29,6.11120080947876,6.193333892915198,6.071378262472821,6.157244991554016,258848000,,,0.0,0.0
2020-01-30,6.117920398712158,6.131360573548575,5.958383358696446,6.0133873406747975,290504000,6.103536128997803,,0.0,0.0
2020-01-31,5.884464263916016,6.084072633373489,5.842651224069046,6.072125914926748,370420000,6.099205422401428,,0.0,0.0
